slopepos,covertype,C_summary,N_summary,,,
backslope,canopy,1.008 ñ 0.137,0.054 ñ 0.007,,,
backslope,open,0.439 ñ 0.052,0.028 ñ 0.003,,,
footslope,canopy,2.538 ñ 0.346,0.133 ñ 0.015,,,
footslope,open,4.428 ñ 0.965,0.212 ñ 0.041,,,
low_backslope,canopy,1.433 ñ 0.285,0.084 ñ 0.019,,,
low_backslope,open,1.818 ñ 0.32,0.097 ñ 0.016,,,
,,,,,,
,,1.008,0.054,18.66666667,,18.7
,,0.439,0.028,15.67857143,,15.7
,,2.538,0.133,19.08270677,,19.1
,,4.428,0.212,20.88679245,,20.9
,,1.433,0.084,17.05952381,,17.1
,,1.818,0.097,18.74226804,,18.7
