"slopepos","cover_type","plot","morph","aliphatic","unsaturated/lignin","aromatic","condensed aromatic","depth"
"footslope","open","A","Bg1",29.07,64.84,3.25,2.85,"42 - 48"
"footslope","open","A","Bg2",31.85,61.17,2.54,4.44,"49 - 54"
"footslope","open","B","Oe/Bg",24.44,64.89,7.17,3.5,"33 - 35"
"footslope","open","B","Bg1",23.47,66.64,6.92,2.97,"35 - 39"
"footslope","open","B","Bg2",24.55,64.55,7.39,3.51,"39 - 44"
"footslope","open","C","Bg1",26.14,65.91,4.26,3.69,"33 - 45"
"footslope","open","C","Bg2",31.51,64.11,2.3,2.08,"45 - 50"
"footslope","open","C","Bg3",28.9,64.57,3.38,3.15,"50 - 54"
"footslope","closed","A","Bg1",33.87,56.96,6.88,2.29,"29 - 38"
"footslope","closed","A","Bg2",29.61,62.11,5.14,3.14,"38 - 43"
"footslope","closed","A","Bg3",30.09,61.27,5.06,3.57,"43 - 48"
"footslope","closed","B","Bg1",25.9,64.13,6.89,3.08,"25 - 39"
"footslope","closed","B","Bg2",31.59,56.16,8.14,4.11,"39 - 43"
"footslope","closed","B","Bg3",29.51,58.51,8.04,3.93,"43 - 48"
"footslope","closed","C","Bg1",30.46,59.91,7.07,2.56,"29 - 35"
"footslope","closed","C","Bg2",27.54,62.55,6.78,3.13,"35 - 40"
"footslope","closed","C","Bg3",26.58,61.87,7.75,3.8,"40 - 45"
"low backslope","closed","A","A",24.87,60.51,9.32,5.3,"26 - 35"
"low backslope","closed","A","Bg1",34.36,56.78,3.76,5.1,"35 - 40"
"low backslope","closed","A","Bg2",34.27,57.76,4.06,3.92,"40 - 45"
"low backslope","closed","B","Bg",34.27,53.1,7.82,4.82,"19 - 44"
"low backslope","closed","C","Bg1",32.84,56.63,7.65,2.88,"21 - 38"
"low backslope","closed","C","Bg2",26.48,61.01,7.66,4.85,"38 - 41"
"low backslope","closed","C","Bg3",26.07,62.36,6.63,4.94,"41 - 45"
"low backslope","open","A","Bg1",42.31,52.94,2.09,2.66,"23 - 35"
"low backslope","open","A","Bg2",41.67,51.11,3.47,3.75,"35 - 39"
"low backslope","open","A","Bg3",44.55,48,2.36,5.09,"39 - 42"
"low backslope","open","B","Bg1",30.12,60.34,6.09,3.46,"29 - 40"
"low backslope","open","B","Bg2",28.81,63.69,4.08,3.42,"40 - 44"
"low backslope","open","B","Bg3",30.58,60.5,5.01,3.92,"44 - 48"
"low backslope","open","C","Bg1",32.77,59.11,3.93,4.19,"30 - 43"
"low backslope","open","C","Bg2",29.78,61.67,4.56,4,"43 - 48"
"backslope","closed","A","Bg1",43.81,48.27,1.73,6.19,"26 - 49"
"backslope","closed","B","Bg1",35.44,55.83,6.38,2.36,"28 - 50"
"backslope","closed","C","Bg1",37.11,54.44,2.22,6.22,"22 - 44"
"backslope","open","A","Bg1",29.2,55.41,3.85,11.54,"19 - 46"
"backslope","open","B","Bg2",42.76,49.82,1.06,6.36,"36 - 48"
"backslope","open","B","Bg3",33.73,53.37,1.79,11.11,"48 - 53"
"backslope","open","B","Bg4",35.98,54.18,1.46,8.37,"53 - 57"
"backslope","open","D","Bg2",37.89,50,1.55,10.57,"30 - 42"
"backslope","open","D","Bg3",40.92,49.15,0.97,8.96,"42 - 60"
