type,site,city,lat,lng,elevation_ft,elevation_m
CALM,Atqasuk,Atqasuk,70.452417, -157.411778,74,22
CALM,Barrow 1,Barrow 1,71.322417,-156.610889,30,9
CALM,Barrow 2,Barrow 2,71.304889,-156.588861,16,4
CALM,Betty Pingo,Betty Pingo,70.282583,-148.893472,40,12
CALM,Sagwon 1,Sagwon 1,69.4395,-148.668833,800,244
CALM,Sagwon 2,Sagwon 2,69.402472,-148.797778,1080,329
CALM,Toolik,Toolik,68.623028,-149.609833,2490,759
CALM,Westdock,Westdock,70.370389,-148.568667,10,3
SCAN,Checkers Creek,Nome,65.403,-164.711,326,99
SCAN,Kanuti Lake,Yukon-Koyukuk,66.177,-151.742,524,160
SCAN,Moose Inc,Kenai Peninsula,59.68333,-151.36667,132,40
SCAN,Schor Garden,Kenai Peninsula,59.68333,-151.38333,393,120
USFS ,Bonanza Creek Experimental Forest,Fairbanks,64.8585,-147.847,365,111
USFS ,Juneau,Juneau,58.16634177,-133.6989569,183,56
